[Thu Jul 28 22:34:07 2022] [INFO] [Engine] Loading Engine Settings...
[Thu Jul 28 22:34:07 2022] [SUCCESS] [Engine] Loaded Engine Settings...
[Thu Jul 28 22:34:09 2022] [INFO] [ResourceManager] Loading Texture: Character/PeterPepper_Walking.png
[Thu Jul 28 22:34:09 2022] [SUCCESS] [ResourceManager] Texture Succesfully Loaded: Character/PeterPepper_Walking.png
[Thu Jul 28 22:34:09 2022] [INFO] [ResourceManager] Loading Texture: Character/PeterPepper_Idle.png
[Thu Jul 28 22:34:09 2022] [SUCCESS] [ResourceManager] Texture Succesfully Loaded: Character/PeterPepper_Idle.png
[Thu Jul 28 22:34:09 2022] [INFO] [ResourceManager] Loading Texture: Character/PeterPepper_Death.png
[Thu Jul 28 22:34:09 2022] [SUCCESS] [ResourceManager] Texture Succesfully Loaded: Character/PeterPepper_Death.png
[Thu Jul 28 22:34:09 2022] [INFO] [ResourceManager] Loading Font: UI/Cyber11.ttf
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Added Scene: TestScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Currently Active Scene: TestScene
[Thu Jul 28 22:34:09 2022] [INFO] [ResourceManager] Loading Texture: UI/White.jpg
[Thu Jul 28 22:34:09 2022] [SUCCESS] [ResourceManager] Texture Succesfully Loaded: UI/White.jpg
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Added Scene: LoginScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Currently Active Scene: TestScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Added Scene: RoomSelectorScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Currently Active Scene: TestScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Added Scene: GameScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Currently Active Scene: TestScene
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Switching Scene...
[Thu Jul 28 22:34:09 2022] [INFO] [SceneManager] Currently Active Scene: LoginScene
[Thu Jul 28 22:34:16 2022] [SUCCESS] [NETWORKMANAGER] Succesfully logged in.
[Thu Jul 28 22:34:16 2022] [INFO] [SceneManager] Switching Scene...
[Thu Jul 28 22:34:16 2022] [INFO] [SceneManager] Currently Active Scene: RoomSelectorScene
[Thu Jul 28 22:34:16 2022] [INFO] [GameStateManager] Created local object for PeakAlive with the name: PlayerManager
[Thu Jul 28 22:34:16 2022] [INFO] [SceneManager] Switching Scene...
[Thu Jul 28 22:34:16 2022] [INFO] [SceneManager] Currently Active Scene: GameScene
[Thu Jul 28 22:34:22 2022] [SUCCESS] [CLOUDSCRIPT] Descriptor Saved in Room Id 1
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
[Thu Jul 28 22:34:40 2022] [INFO] [GameStateManager] Received an ObjectUpdated message from 3A13B10FCB6023FD for object: testObject
[Thu Jul 28 22:34:40 2022] [ERROR] [GameStateManager] No PlayerState exists for peer 3A13B10FCB6023FD with object: testObject
